Variable,Table,Key,Dataset,MMRF Variable Name,Description,HIPAA or Other Identified Data,Data Type,MMRF Values,CoMMpass Note,caDSR,Data Standard,CoMMpass Source Table Variable,CoMMpass Subcohort,Additional Information,Constraint,GDC Variable,GDC Values,GDC Required,,
11,project,no,commpass,study_start_date,Date recorded in ClinicalTrials.gov as the project's start date.,no,date,7/1/2011,,not applicable,ClinicalTrials.gov,ClinicalTrials.gov | https://clinicaltrials.gov/study/NCT01454297,not applicable,Data element from ClinicalTrials.gov for the NCT01454297 since it is the major study responsible for data and data management.,,,,not_applicable,,
12,project,no,commpass,study_start_year,Year component of the date recorded in ClinicalTrials.gov  as the project's start date.,no,integer four digit,2011,,not applicable,ClinicalTrials.gov,ClinicalTrials.gov | https://clinicaltrials.gov/study/NCT01454297,not applicable,Data element from ClinicalTrials.gov for the NCT01454297 since it is the major study responsible for data and data management.,,,,not_applicable,,
13,project,no,commpass,study_completion_date,Date recorded in ClinicalTrials.gov as the project's actual completion date.,no,date,12/31/2023,,not applicable,ClinicalTrials.gov,ClinicalTrials.gov | https://clinicaltrials.gov/study/NCT01454297,not applicable,Data element from ClinicalTrials.gov for the NCT01454297 since it is the major study responsible for data and data management.,,,,not_applicable,,
14,project,no,yes,study_completion_year,Year component of the date recorded in ClinicalTrials.gov as the project's actual completion date.,no,integer four digit,2023,,not applicable,ClinicalTrials.gov,ClinicalTrials.gov | https://clinicaltrials.gov/study/NCT01454297,not applicable,Data element from ClinicalTrials.gov for the NCT01454297 since it is the major study responsible for data and data management.,,,,not_applicable,,
1,subject,primary,commpass,public_id,MMRF unique subject identifier,no,string lowercase,,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. ",not applicable,not applicable,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,"one,two",MMRF created for this dataset,not null,submitter_id,not applicable,yes,,
2,subject,yes,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,,one,"MMRF created for this dataset 
",,project_id,not applicable,no,,
3,subject,foreign,commpass,institution_id,Identifier of the institution through which the subject was enrolled.,no,integer,,Numeric identifier for the institution enrolling the subject. This is the primary key for the institution table.,not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one,two",MMRF created for this dataset,not null,not applicable,not applicable,not applicable,,
4,subject,no,commpass,institution_subject_id,Identifier of the subject and institution through which the subject was enrolled.,no,string ,,"A combination identifier with the institution identifier with the subject identifier separated by a ""-"". Example 100-104.",not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one,two",MMRF created for this dataset,not null,not applicable,not applicable,not applicable,,
5,subject,no,commpass,alt_subject_id,Subject identifer used in the project.,no,integer,,"In a complex study with different data providers, a subject may have more than one identifier. This field is meant to record an additional identifier.",not applicable,not applicable,Not applicable; represents the MMRF CoMMpass study.,"one,two",MMRF created for this dataset,not null,not applicable,not applicable,not applicable,,
6,subject,no,commpass,disease_type,"Body site in which the multiple myeloma originated; data field part of GDC model. All MMRF CoMMpass subjects have ""multiple_myeloma"" included as  disease_type.",no,enum,multiple_myeloma,"GDC does not have the ""multiple myeloma"" disease type, will need to add",6161017,World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O),"Applied to conform to GDC. All MMRF CoMMpass subjects have ""multiple_myeloma"" included as  disease_type.","one,two",MMRF created for final dataset; every patient has the same value.,not null,disease_type [table case],multiple_myeloma,yes,,
7,subject,no,commpass,primary_site,"Body site in which the multiple myeloma originated; data field part of GDC model. All MMRF CoMMpass subjects have ""bone_marrow"" included as  the primary site.",no,enum,bone_marrow,"GDC does not have the ""bone marrow"" primary site, will need to add",6161019,World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O),"Applied to conform to GDC. All MMRF CoMMpass subjects have ""bone_marrow"" included as  disease_type.","one,two",MMRF created for final dataset; every patient has the same value.,not null,primary_site [table case],bone_marrow,yes,,
8,subject,no,commpass,index_date,"The date used in the calculation of the days interval for every subject date for the primary purpose of date obfuscation since dates cannot be used in deidentified datasets. Using this method,  a single event/date for each subject is used in calculations for all other subject dates in dataset, with the index date subtracted from each date that results in the number of days from the index to the date of interest.",no,enum,"diagnosis
first_patient_visit
first_treatment
initial_genomic sequencing
recurrence
sample_procurement
study-enrollment","As a requirement of the CoMMpass study, each patient entered at the time of first treatment. As such, each patient has the same value, ""first_treatment"", recorded as the index_date.",6154722,not applicable,"Applied based on eligibility requirements. In MMRF CoMMpass, all subjects were enrolled at the time of first treatment following diagnosis of active multiple myeloma.","one,two",MMRF created for final dataset; every patient has the same value.,not null,index_date [table case],"Diagnosis
First Patient Visit
First Treatment
Initial Genomic Sequencing
Recurrence
Sample Procurement
Study Enrollment",no,,
9,subject,no,commpass,year_of_index_date,"The year component of the actual reference date used for date obfuscation, where a single date is used in a calculation for all dates in dataset that results in the number of days from the index to the date of interest. This date should be used internally at the MMRF and never shared.",no,integer four digit,,,not applicable,not applicable,"Subcohort One: Table: D_PT.csv variable: trtstdt
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: ind_start_date","one,two",MMRF created for final dataset; every patient has the same value.,,not applicable,not applicable,not applicable,,
11,subject,no,commpass,consent_type,The type of consent obtained from the subject for participation in the study.,no,enum,"consent_by_death
consent_exemption
consent_waiver
informed_consent","All subjects provided signed written consent, so ""informed_consent"" is recorded for each subject.",not applicable,DC|Genomic Data Commons,Applied to conform to GDC. All MMRF CoMMpass as all subjects have provided written consent for participation.,"one,two",MMRF created for final dataset; every patient has the same value.,,consent_type [table case],"Consent by Death
Consent Exemption
Consent Waiver
Informed Consent",no,,
12,subject,no,commpass,days_to_consent,Number of days between the date used for index and the date the subject provided consent was obtained for participation in the study.,no,integer,,,not applicable,not applicable,Subcohort One and Two: Table: D_PT.csv | Variable: ic_date ic_date,"one,two",,,days_to_consent,integer,no,,
13,subject,no,commpass,year_of_consent,The year in which the subject's consent was obtained for participation in the study.,no,integer four digit,,,not applicable,not applicable,Subcohort One and Two: Table: D_PT.csv | Variable: ic_date ic_date,"one,two",,,not applicable,not applicable,not applicable,,
15,subject,no,commpass,lost_to_followup,Indicator that the subject was lost to follow-up during the study period.,no,enum,"yes
no
unknown",,6161018,,Subcohort One and Two: Table: D_PT.csv | Variable: ic_date ic_date,"one,two",,,lost_to_followup [table case],"Yes
No
Unknown",no,,
16,subject,no,commpass,days_to_lost_to_followup,"Number of days between the index_date (date used for index and the date that the subject was last known to be alive prior to being  lost to follow-up if the subject had ""yes"" for lost_to_followup.",no,integer,,,6154721,GDC|Genomic Data Commons,Subcohort One: Table: D_PT.csv variable: based on lastdt SE_PRIMARYREASON=Patient is lost to follow-up,"one,two",,,days_to_lost_to_followup [table case],,no,,
17,subject,no,commpass,year_of_lost_to_followup,"The year component of the date that the subject was last known to be alive, prior to being lost to follow-up during the study period if the subject had ""yes"" for lost_to_followup.",no,integer,,,not applicable,not applicable,Subcohort One: Table: D_PT.csv variable: based on lastdt SE_PRIMARYREASON=Patient is lost to follow-up,"one,two",,,not applicable,not applicable,not applicable,,
19,subject,no,commpass,subcohort,Indicator of sub study under which subjects were enrolled to MMRF CoMMpass project.,no,enum,"one
two","The two subcohorts contributing data to MMRF CoMMpass project had different data collection strategies, and for some clinical tables, data availability may be limited one subcohort. The data dictionary will annotate the subcohorts contributing data to each variable. The base CoMMpass cohort is ""one"" and the Italian cohort is ""two"".",not applicable,not applicable,Subcohort One and Two: Table: D_PT.csv | Variable:PR_REGID,"one,two",MMRF created for this dataset,,not applicable,not applicable,not applicable,,
20,subject,no,commpass,race,"Subject's race that was collected at baseline, study enrollment,  for the US cohort only.",no,enum,"american_indian_or_alaska_native
asian_nos
black_or_african_american
native_hawaiian_or_other_pacific_islander
white
other
not_reported
not_allowed_to_collect","This variable is applicable to US-based subjects only; subjects from other countries will be coded as ""not_allowed_to_collect"".",2192199,NCIP|NCI Programs,"Subcohort One and Two: Table: D_PT.csv | Variable: race
",one,,not null,race [demographic],"american indian or alaska native
asian
black or african american
native hawaiian or other pacific islander
white
other
unknown
not reported
not allowed to collect",yes,,
21,subject,no,commpass,ethnicity,"Subject's ethnicity that was collected at baseline, study enrollment, for the US cohort only.",no,enum,"hispanic_or_latino
not_hispanic_or_latino
unknown
not_reported
not_allowed_to_collect","This variable is applicable to US-based subjects only; subjects from other countries will be coded as ""not_allowed_to_collect"".",2192217,NCIP|NCI Programs,Subcohort One and Two: Table: D_PT.csv | Variable: ethnic,one,,not null,ethnicity [demographic],"hispanic or latino
not hispanic or latino
unknown
not reported
not allowed to collect",yes,,
22,subject,no,commpass,gender,"Subject's sex that was collected at baseline, study enrollment.",no,enum,"female
male
unspecified
unknown
not_reported",,2200604,NCIP|NCI Programs,Subcohort One and Two: Table: D_PT.csv | Variable: gender,"one,two",,not null,gender [demographic],"female
male
unspecified
unknown
not reported",yes,,
23,subject,no,commpass,vital_status,"The subject's survival status at the end of the study period, at the time of lost to follow-up, or at death.",no,enum,"alive
dead
unknown
not_reported",,5,CTEP|NCI Cancer Therapy Evaluation Program,derived,"one,two","MMRF will submit vital status at end of study, based on ""D_PT_complete""",not null,vital_status [demographic],"Alive
Dead
Unknown
Not Reported",yes,,
24,subject,no,commpass,days_to_birth,Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.,no,integer,,,6154723,GDC|Genomic Data Commons,"Subcohort One: Table: D_PT.csv variable: brthdt
",one,,,days_to_birth [demographic],integer,no,,
25,subject,no,commpass,year_of_birth,"The year component of the subject's date of birth. In a de-identified dataset, this variable will help with sequencing events.",no,integer four digit,,,2896954,,"Subcohort One: Table: D_PT.csv variable: brthdt
",one,,,year_of_birth,not applicable,no,,
27,subject,no,commpass,age_at_index,Subject's age at the time of first therapy for multiple myeloma diagnosis.,no,integer 2 digit,,,6028530,CTEP|NCI Cancer Therapy Evaluation Program,Subcohort One and Two: Table: D_PT.csv | Variable: D_PT_age,"one,two","MMRF to use ""D_PT_trtstdys""",,age_at_index [demographic],integer,no,,
28,subject,no,commpass,age_is_obfuscated,Indicates that the subject's age and related time variables are hidden due to HIPAA reasons.,no,enum,"yes
no
not_available","Data uses age_at_index to determine whether a subjects data should be limited for release due to HIPAA rules. For patients aged greater than 89 at study entry or who reach 90 at some point during the study interval, all age related data (intervals and years) will not be available in the de-identified dataset. ",not applicable,HIPAA,derived,"one,two",MMRF created for this dataset,,age_is_obfuscated [demographic],"true
false",no,,
29,subject,no,commpass,cause_of_death,Text term to identify the cause of death for a patient.,no,enum,see demographic data details,,2554674,,Subcohort One and Two: Table: D_PT.csv | Variable: D_PT_CAUSEOFDEATH,"one,two",MMRF harmonized data to GDC,,cause_of_death [demographic],see demographic data details,no,,
30,subject,no,commpass,cause_of_death_detail,Additional detail for cause_of_death based on curation of text entries.,no,string harmonized,,,,,Subcohort One and Two: Table: D_PT.csv | Variable: SE_SPECIFY2,"one,two",MMRF harmonized data to GDC,,not applicable,not applicable,no,,
31,subject,no,commpass,cause_of_death_source,The text term used to describe the source used to determine the patient's cause of death.,no,enum,not_reported,This variable was not collected in CoMMpass so every subject will have 'not_reported' recorded.,not applicable,,Applied,"one,two","MMRF created for this dataset. Since ""cause_of_death"" is part of the dataset, all  ""cause_of_death_source"" will be set to ""unknown"" for patients who have died as the cause of death for a given patient was ascertained by the insitution.",,cause_of_death_source [demographic],"Autopsy
Death Certificate
Medical Record
Social Security Death Index
Unknown
Not Reported",no,,
32,subject,no,commpass,days_to_death,Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.,no,integer,,,6154724,,Subcohort One and Two: Table: D_PT.csv | Variable: D_PT_deathdy,"one,two",,,days_to_death [demographic],not applicable,no,,
33,subject,no,commpass,year_of_death,"The year component of the subject's date of death, if applicable. In a de-identified dataset, this variable will help with sequencing events.",no,integer four digit,,,2897030,,Subcohort One and Two: Table: D_PT.csv | Variable: D_PT_deathdy,"one,two",MMRF created for this dataset,,year_of_death,not applicable,no,,
35,subject,no,commpass,country_of_residence_at_enrollment,The subject's country of residence at the time they were enrolled in the study.,no,enum,"canada
italy
spain
united_states",Full country list in demographics data details tab; CoMMpass had subjects recruited from  4 countries. Countries names are lowercase.,"	
7050286",NCI standards: non enumerated text,Subcohort One and Two: Table: D_PT.csv | Variable: derived from study_id,"one,two",,,country_of_residence_at_enrollment [demographic],"Canada
Italy
Spain
United States",no,,
36,subject,no,commpass,relatives_with_cancer_history_count,Count of relatives with malignant cancer diagnosis derived from famhx table,no,enum,"0
1
2
3
4
none
not_reported","For CoMMpass, subcohort=one had this variable collected. If the subject has ""1"" or more recorded, additional information for the subject's relatives will be found in the famhx table. If the subject had no relatives listed, ""none"" is recorded.

Subjects in subcohort=two have ""not_reported"" as the value. 
",not applicable,not applicable,Subcohort One: Table: FAMHX_MGC-IA16.csv | Variable: FAMMGC_RELATIONSHIPT,one,"Variable from the GDC family_history table; MMRF moved to subject table. 
Family history of cancer not collected in cohort two.",,relatives_with_cancer_history_count,integer,no,,
1,family_history,yes,commpass,famhx_id,Unique identifier for family_history table,no,string,example: mmrf_1013-mmrf_commpass-fh-3,"This is a composite primary key using the public_id, project_id, and count of relatives with cancer.",not applicable,not applicable,,one,Family history of cancer not collected in cohort two.,,,,no,,
2,family_history,yes,commpass,public_id,MMRF subject identifier,no,string,example: mmrf_1013,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. This is the primary key for the subject table.",not applicable,not applicable,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,one,Family history of cancer not collected in cohort two.,,submitter_id,not applicable,no,,
3,family_history,yes,commpass,project_id,The project's source name,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,project table,one,"MMRF created for this dataset 
",,project_id,not applicable,no,,
4,family_history,yes,commpass,relationship_gender,Person's gener who is related to subject with a cancer diagnosis.,no,enum,"female
male
unspecified
unknown
not_reported","This variable was not collected in CoMMpass, so all entries are 'not_reported'.",6161021,GDC,Not available; applied,one,Family history of cancer not collected in cohort two.,,relationship_gender,"female
male
unspecified
unknown
not reported",no,,
5,family_history,no,commpass,relationship_type,"The family relationship of the person with cancer  to the subject, which  describes the state of connectedness between members of the unit of society organized around kinship ties.",no,enum,see 'family_history data details' tab,,2690165,,Table: FAM_HX_MGC_16.csv | Variable: FAMMGC_RELATIONSHIPT,one,Family history of cancer not collected in cohort two.,,relationship_type,see 'family_history data details' tab,no,,
6,family_history,no,commpass,relationship_primary_diagnosis,Cancer diagnosis for the person related to the subject.,no,enum,see 'family_history data details' tab,,6161022,GDC,Table: FAM_HX_MGC_16 | Variable: FAMMGC_SPECIFICTYPEO FAMMGC_SPECIFY,one,Family history of cancer not collected in cohort two.,,relationship_primary_diagnosis,see 'family_history data details' tab,no,,
1,diagnosis,primary,commpass,dx_id,Unique row identifier for diagnosis table,no,string,example: mmrf_1007-mmrf_commpass-d10,"This is a composite primary key using the based on a combination of public_id, project_id, and cancer_diagnosis.",not applicable,not applicable,,"one,two",MMRF created for this dataset,not null,,not applicable,MMRF addition,,
2,diagnosis,foreign,commpass,public_id,MMRF unique subject identifier,no,string,,"Each value has the the format: ""mmrf_"" followed by a four digit integer. Example: mmrf_1111. This is the primary key for the subject table.",not applicable,not applicable,Subcohorts One and Two: Table: D_PT.csv variable: subject_id,"one,two","MMRF created for this dataset 
",not null,submitter_id,not applicable,yes,,
3,diagnosis,yes,commpass,project_id,The project's source name that is used as a primary key for the project table and as a foreign key for other tables.,no,string,mmrf_commpass,"The MMRF CoMMpass project will use ""mmrf_commpass"" to designate the project. This is the primary key for the project table.",not applicable,not applicable,project table,"one,two","MMRF created for this dataset 
",not null,project_id,not applicable,no,,
4,diagnosis,no,commpass,cancer_diagnosis,Identifier for each cancer diagnosis experienced by the subject relative to the subject's myeloma diagnosis.,no,integer two digit,,"1 -- 7: prior non-myeloma cancer diagnoses compared to the cancer of interest, the myeloma-related study cancer
8: MGUS
9: smoldering myeloma
10: active multiple myeloma diagnosis
11--19: cancer diagnoses that occur following the study specific myeloma-related diagnosis
99: No cancer, healthy control",not applicable,not applicable,"10 coding created for each subject based on MMRF CoMMpass enrollment criteria.
Subcohort One
1-9 coding based on Table MEDHX |Variable: MHX_SPECIFY ( harmonized)

11-19 based on Table: EMERGENCY_DEPT-IA16 | Variable: ED_PRIMARYREASON (hamonization); Table: ADMISSIONS-IA16 | Variable: ADM_PRIMARYREASON (harmonized)
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable:  len_discontinuation_m_cause_revised

","Each CoMMpass subject is assigned a ""10"" value for their MM diagnosis, the study cancer. Data in tables related to the study diagnosis like the treatment tables will contain the cancer_diagnosis variable so the data can be filtered to the appropriate rows.","MMRF addition to data model.

Each CoMMpass subject is assigned a ""10"" value for their MM diagnosis, the study cancer. Data in tables related to the study diagnosis like the treatment tables will contain the cancer_diagnosis variable so the data can be filtered to the appropriate rows.",not null,not apllicable,not applicable,MMRF addition,,
5,diagnosis,no,commpass,age_at_diagnosis,Subject's age at the of study entr/diagnosis,no,integer two digit,,"""Active variable for the """"multiple_myeloma"""" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

In the case of CoMMpass, the age at index is used as the subjects were newly diagnosed.",3225640,NCIP|NCI Programs,"Subohort One: Table D_PT.csv | age
Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable:  Age
","one,two",,not null,age_at_diagnosis,integer,yes,,
6,diagnosis,no,commpass,diagnosis_is_primary_disease,"Indicator that this specific diagnosis represents the disease that was the primary focus of the study. To analyse data for the cancer of interest, use this data to subset the diagnosis data.",no,boolean,"TRUE
FALSE","The 'true' value is recorded for the active MM diagnosis only, all other diagnoses are coded ""false."" Use this variable to subset the data to the MM diagnosis.",not applicable,Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,not null,diagnosis_is_primary_disease,"true
false",yes,,
7,diagnosis,no,commpass,morphology,The site (topography) and the histology (morphology) of neoplasms.,no,enum,9732_3,"For CoMMpass ""9732_3"" is recorded for the diagnosis that made the subject eligible for the study.",3226275,"Third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms.",Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,not null,morphology,9732/3,yes,,
8,diagnosis,no,commpass,primary_diagnosis,The subject's histologic diagnosis.,no,enum,multiple_myeloma,"For CoMMpass ""multiple_myeloma"" is recorded for the diagnosis that made the subject eligible for the study.",6161032,World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O),Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,not null,primary_diagnosis,Multiple myeloma,yes,,
9,diagnosis,no,commpass,site_of_resection_or_biopsy,"The anatomic site of tissue for diagnosis confirmation, of the subject's malignant disease. ",no,enum ,bone_marrow,"For CoMMpass subjects, bone_marrow is recorded for the multiple myeloma diagnosis that made the subject eligible for the study.",6161034,World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O),Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,not null,site_of_resection_or_biopsy,Bone marrow,yes,,
10,diagnosis,no,commpass,tissue_or_organ_of_origin,"The anatomic site of origin, of the subject's malignant disease. ",no,enum ,bone_marrow,"For CoMMpass subjects, bone marrow is the origin for the multiple myeloma diagnosis that made the subject eligible for the study.",6161035,World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O),Not applicable;  variable created based on MMRF CoMMpass enrollment criteria.,"one,two",,not null,tissue_or_organ_of_origin,Bone marrow,yes,,
11,diagnosis,no,commpass,classification_of_tumor,Describes the kind of disease present in the tumor specimen at diagnosis,no,enum,"metastasis
premalignant
primary
prior_primary
progression
recurrence
subsequent_primary
synchronous_primary
other
unknown
not_reported
not_allowed_to_collect","For CoMMpass subjects, this represents the timing of the cancer diagnosis compared to the multiple myeloma diagnosis that made the subject eligible for the study. For this study, all myeloma diagnoses are coded as ""primary.""",3288124,TCGA:The Cancer Genome Atlas,,"one,two",,,classification_of_tumor,"Metastasis
Premalignant
Primary
Prior primary
Progression
Recurrence
Subsequent Primary
Synchronous primary
Other
Unknown
Not reported
Not Allowed To Collect",no,,
12,diagnosis,no,commpass,days_to_diagnosis,"Number of days between the subject's multiple myeloma date of diagnosis and the index date. In a de-identified dataset, this variable will help with sequencing events. NB: The date of diagnosis was not collected for patients in subcohort one.",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

In the case of CoMMpass, this variable was not collected for subcohort=one; as such, this will be null.",6154733,,Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: Date_of_diagnosis,two,,,days_to_diagnosis,,no,,
13,diagnosis,no,commpass,year_of_diagnosis,"Year component of the subject's multiple myeloma date of diagnosis. In a de-identified dataset, this variable will help with sequencing events. NB: The date of diagnosis was not collected for patients in subcohort one.",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

In the case of CoMMpass, this variable was not collected for subcohort=one; as such, this will be null.",2896960,,Subcohort Two: Table: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: Date_of_diagnosis,two,,,year_of_diagnosis,,no,,
15,diagnosis,no,commpass,best_overall_response,The best improvement achieved throughout the entire course of study period.,no,enum,"scr
cr
vgpr
pr
sd
pd
ne
unknown","Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

""Best overall response"" in the context of multiple lines of therapy provides a comprehensive picture of how well a subjects's mm responds to the sequence of treatments administered, taking into account the most favorable outcome achieved across different lines of therapy. ",2003324,CCR|NCI Center for Cancer Research,"Subcohort One: Table: D_BRESP.csv | responsec
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv |best_response Variable: ","one,two",Duplicate of variable in outcomes table.,,best_overall_response,see diagnosis best_overall_response tab,no,,
16,diagnosis,no,commpass,days_to_best_overall_response,"Number of days between the subject's date of first best response to therapy for  multiple myeloma and the index date. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

Note: if best_overall_response is 'sd' 'pd' 'unknown' or 'ne' the days_to_best_overall_response will be null.",not applicable,,"Subcohort One: Table: D_BRESP.csv | assessdt
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: best_response_date","one,two",Duplicate of variable in outcomes table.,,days_to_best_overall_response,,no,,
17,diagnosis,no,commpass,year_of_best_overall_response,"Year component the subject's date of first best response to therapy for  multiple myeloma. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.

Note: if best_overall_response is 'sd' 'pd' 'unknown' or 'ne' the year_of_best_overall_response will be null.",not applicable,,"Subcohort One: Table: D_BRESP.csv | assessdt
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv | Variable: best_response_date","one,two",MMRF addition to data model.,,,,MMRF addition,,
19,diagnosis,no,commpass,days_to_last_follow_up,"Number of days between the subject's multiple myeloma index date and the date of last follow up in study. In a de-identified dataset, this variable will help with sequencing events. ",no,integer,,"Active variable for the ""multiple_myeloma"" diagnosis that made the subject eligible for the study. This should be remain blank for other cancer diagnoses.",3008273,,"Subcohort One: Table: D_PT |  Variable: lastdt
Subcohort Two: TABLE: FileUNITO-MM-FORTE-30OctMMRF_created_22JUL2021.csv |Last_contact_Follow_up","one,two",,,days_to_last_follow_up,,no,,
